country,region,libdem,partipdem,delibdem,egaldem,gdp_pc
Afghanistan,Asia,0.2154,0.1532,0.3169,0.22619999999999998,1.7214
Albania,Eastern Europe,0.4414,0.3293,0.3214,0.38780000000000003,10.048399999999999
Algeria,Middle East,0.1627,0.1234,0.2341,0.26230000000000003,12.0144
Angola,Africa,0.1416,0.0822,0.1351,0.11549999999999999,6.1826
Argentina,Latin America,0.6068,0.5166000000000001,0.5786,0.6066,17.066
Armenia,Eastern Europe,0.26839999999999997,0.2563,0.2967,0.3442,10.2118
Australia,The West,0.8299,0.618,0.802,0.7603,46.896300000000004
Austria,The West,0.7977000000000001,0.6433,0.7708,0.7704,43.468
Azerbaijan,Eastern Europe,0.0659,0.0681,0.0556,0.1328,14.5113
Bahrain,Middle East,0.048799999999999996,0.047,0.058300000000000005,0.11710000000000001,30.924599999999998
Bangladesh,Asia,0.1291,0.1529,0.1514,0.1388,3.3004
Barbados,Latin America,0.6616000000000001,0.33740000000000003,0.6718000000000001,0.6307,16.9953
Belarus,Eastern Europe,0.1031,0.0907,0.0873,0.2743,19.82
Belgium,The West,0.8386,0.6476000000000001,0.8129,0.8361,41.5
Benin,Africa,0.5032,0.4062,0.5263,0.4852,2.4603
Bhutan,Asia,0.4983,0.3694,0.5049,0.48319999999999996,9.748
Bolivia,Latin America,0.3745,0.4849,0.46140000000000003,0.4289,5.4140999999999995
Bosnia and Herzegovina,Eastern Europe,0.3705,0.32480000000000003,0.384,0.3905,10.2111
Botswana,Africa,0.5967,0.4425,0.5554,0.4956,13.9679
Brazil,Latin America,0.7154,0.5775,0.6965,0.5523,12.2965
Bulgaria,Eastern Europe,0.5529999999999999,0.4591,0.5286000000000001,0.5051,17.2158
Burkina Faso,Africa,0.42269999999999996,0.3569,0.4907,0.3927,1.9642
Burma/Myanmar,Asia,0.1756,0.2029,0.2668,0.1899,4.8273
Burundi,Africa,0.088,0.1763,0.1169,0.1494,0.753
Cambodia,Asia,0.1016,0.166,0.1335,0.1045,3.4302
Cameroon,Africa,0.1474,0.1513,0.1424,0.2004,2.7407
Canada,The West,0.7582,0.5773,0.7356,0.7111999999999999,44.9369
Cape Verde,Africa,0.7075,0.48109999999999997,0.6375,0.6352,6.0056
Central African Republic,Africa,0.1998,0.1527,0.1752,0.1849,0.8226
Chad,Africa,0.0924,0.1302,0.1199,0.1024,1.8646
Chile,Latin America,0.8345,0.5851,0.7975,0.6764,22.0666
China,Asia,0.0524,0.0442,0.1477,0.1007,12.953
Colombia,Latin America,0.5344,0.45589999999999997,0.5186,0.3822,12.8466
Comoros,Africa,0.2356,0.2867,0.3073,0.2997,2.4002
Costa Rica,Latin America,0.8529,0.6809000000000001,0.8533,0.8153,15.4773
Croatia,Eastern Europe,0.6865,0.5689,0.6165,0.6501,21.038800000000002
Cuba,Latin America,0.0577,0.0729,0.091,0.2359,8.1876
Cyprus,The West,0.734,0.5751,0.7312,0.7366,28.6239
Czechia,Eastern Europe,0.7734,0.5837,0.7306,0.7762,31.7961
Democratic Republic of the Congo,Africa,0.1368,0.2161,0.1763,0.1903,0.806
Denmark,The West,0.8926000000000001,0.711,0.8784,0.8813,44.9564
Djibouti,Africa,0.1157,0.13740000000000002,0.14559999999999998,0.1641,4.4059
Dominican Republic,Latin America,0.3172,0.3719,0.4144,0.3037,13.2331
Ecuador,Latin America,0.3295,0.3997,0.40499999999999997,0.4117,9.9223
Egypt,Middle East,0.1191,0.073,0.1487,0.0947,8.278599999999999
El Salvador,Latin America,0.4467,0.3968,0.4348,0.3071,5.1716999999999995
Equatorial Guinea,Africa,0.0544,0.051699999999999996,0.0628,0.1052,31.096
Eritrea,Africa,0.0063,0.009,0.0224,0.1516,20.6922
Estonia,Eastern Europe,0.8436,0.6391,0.8140000000000001,0.7882,26.7838
Eswatini,Africa,0.10060000000000001,0.1241,0.08739999999999999,0.0877,8.5962
Ethiopia,Africa,0.1122,0.1039,0.1683,0.1746,1.5924
Fiji,Asia,0.1976,0.1431,0.217,0.2304,9.1471
Finland,The West,0.8391,0.6197,0.8085,0.8129,38.7774
France,The West,0.817,0.6407,0.8257,0.8001,38.8326
Gabon,Africa,0.2208,0.2661,0.3273,0.2883,11.5139
Georgia,Eastern Europe,0.459,0.4013,0.4729,0.5016,10.3537
Germany,The West,0.8537,0.6486000000000001,0.8618,0.8316,43.0481
Ghana,Africa,0.6373,0.3796,0.6399,0.5404,4.8325
Greece,The West,0.7959,0.6282,0.7955,0.7862,24.5706
Guatemala,Latin America,0.4247,0.35109999999999997,0.37120000000000003,0.2443,6.6525
Guinea,Africa,0.1387,0.2285,0.14300000000000002,0.1954,2.1912
Guinea-Bissau,Africa,0.2797,0.2044,0.2362,0.2511,1.4929
Guyana,Latin America,0.4212,0.384,0.3862,0.448,9.6533
Haiti,Latin America,0.24710000000000001,0.2409,0.2715,0.1241,1.6551
Honduras,Latin America,0.2501,0.26980000000000004,0.2899,0.1647,4.4755
Hong Kong,Asia,0.3008,0.1321,0.2793,0.3025,NA
Hungary,Eastern Europe,0.5172,0.44730000000000003,0.3888,0.4963,22.2631
Iceland,The West,0.7881,0.6488,0.7495,0.8058000000000001,48.2387
India,Asia,0.4542,0.3698,0.475,0.3486,5.6833
Indonesia,Asia,0.5119,0.43920000000000003,0.573,0.4162,9.2114
Iran,Middle East,0.1222,0.0439,0.1666,0.1692,11.094100000000001
Iraq,Middle East,0.2437,0.2575,0.2891,0.2145,9.781
Ireland,The West,0.827,0.6433,0.7828,0.7826000000000001,57.1087
Israel,Middle East,0.6552,0.4739,0.5952,0.6032,35.6394
Italy,The West,0.7851,0.6788000000000001,0.802,0.7907000000000001,33.005900000000004
Ivory Coast,Africa,0.328,0.3272,0.4169,0.3093,3.1077
Jamaica,Latin America,0.6824,0.5373,0.6755,0.6094999999999999,7.2395
Japan,Asia,0.7541,0.5431,0.7415,0.7521,37.7482
Jordan,Middle East,0.2222,0.1103,0.2158,0.2066,7.8332999999999995
Kazakhstan,Eastern Europe,0.1152,0.0759,0.0995,0.1873,21.5889
Kenya,Africa,0.3942,0.3423,0.4185,0.30770000000000003,2.9157
Kosovo,Eastern Europe,0.4167,0.337,0.3788,0.4028,6.7581
Kuwait,Middle East,0.2918,0.1062,0.3085,0.2575,52.7047
Kyrgyzstan,Eastern Europe,0.312,0.274,0.3617,0.3084,4.4813
Laos,Asia,0.0823,0.1023,0.0502,0.104,5.1062
Latvia,Eastern Europe,0.7446,0.6433,0.705,0.7155,23.2882
Lebanon,Middle East,0.293,0.2612,0.3599,0.28859999999999997,11.3743
Lesotho,Africa,0.4468,0.3581,0.4323,0.4789,2.9795
Liberia,Africa,0.4588,0.3482,0.5391,0.3963,1.0996
Libya,Middle East,0.16,0.171,0.235,0.2017,11.6788
Lithuania,Eastern Europe,0.7726000000000001,0.6137,0.7033,0.7335,26.1721
Luxembourg,The West,0.7966000000000001,0.6401,0.8325,0.828,82.1294
Madagascar,Africa,0.1935,0.244,0.2029,0.1862,1.2841
Malawi,Africa,0.4317,0.3099,0.4094,0.3186,1.2457
Malaysia,Asia,0.2348,0.24380000000000002,0.2732,0.2556,22.9383
Maldives,Asia,0.2757,0.2871,0.3051,0.3293,13.1646
Mali,Africa,0.3217,0.3209,0.4218,0.3334,2.0667999999999997
Malta,The West,0.5997,0.5657,0.6483,0.6812,32.8362
Mauritania,Africa,0.192,0.1878,0.2618,0.1914,3.5632
Mauritius,Africa,0.6357,0.472,0.6345,0.6081,21.6123
Mexico,Latin America,0.4428,0.4014,0.4986,0.3436,15.9409
Moldova,Eastern Europe,0.48000000000000004,0.3854,0.4403,0.4396,6.4956
Mongolia,Eastern Europe,0.5489,0.3839,0.5839,0.5215000000000001,8.2131
Montenegro,Eastern Europe,0.3778,0.3177,0.387,0.3804,14.4727
Morocco,Middle East,0.2353,0.1656,0.2557,0.1854,7.4704
Mozambique,Africa,0.2893,0.26730000000000004,0.2983,0.2768,1.4992
Namibia,Africa,0.5533,0.4219,0.5265,0.4477,9.2868
Nepal,Asia,0.4585,0.3177,0.4056,0.3934,2.3167
Netherlands,The West,0.8319,0.6159,0.8092,0.8053,46.3453
New Zealand,The West,0.8394999999999999,0.6929,0.7663,0.7933,35.0385
Nicaragua,Latin America,0.1248,0.1932,0.157,0.1747,4.5919
Niger,Africa,0.42110000000000003,0.3796,0.5012,0.3873,1.0861
Nigeria,Africa,0.3778,0.3554,0.4047,0.3127,4.2905
North Korea,Asia,0.015,0.044,0.0098,0.08639999999999999,1.807
North Macedonia,Eastern Europe,0.3328,0.3354,0.32630000000000003,0.3493,12.3523
Norway,The West,0.86,0.6438,0.8639,0.8501,58.5265
Oman,Middle East,0.13740000000000002,0.11649999999999999,0.0677,0.1827,26.1354
Pakistan,Asia,0.2714,0.2837,0.3163,0.1616,4.2527
Palestine/Gaza,Middle East,0.0747,0.1148,0.074,0.1562,NA
Palestine/West Bank,Middle East,0.1694,0.1799,0.2459,0.2473,NA
Panama,Latin America,0.5556000000000001,0.4747,0.6257,0.5022,20.9858
Papua New Guinea,Asia,0.3495,0.27640000000000003,0.2602,0.2527,3.6174
Paraguay,Latin America,0.43989999999999996,0.3814,0.3639,0.2521,8.5864
Peru,Latin America,0.6836,0.5825,0.6355,0.513,10.1846
Philippines,Asia,0.3868,0.3565,0.4536,0.2722,6.3559
Poland,Eastern Europe,0.7075,0.5668,0.6336,0.722,23.4574
Portugal,The West,0.8357,0.6413,0.8244,0.8004,26.4836
Qatar,Middle East,0.0925,0.0242,0.0903,0.1149,91.9771
Republic of the Congo,Africa,0.0973,0.1433,0.178,0.1085,3.7950999999999997
Romania,Eastern Europe,0.5541,0.4842,0.45220000000000005,0.5366,16.4799
Russia,Eastern Europe,0.1161,0.1601,0.1545,0.2089,24.5217
Rwanda,Africa,0.1288,0.1931,0.2039,0.2144,1.9566
Sao Tome and Principe,Africa,0.5643,0.4218,0.5071,0.48319999999999996,3.1915
Saudi Arabia,Middle East,0.0469,0.024399999999999998,0.0503,0.1071,35.088
Senegal,Africa,0.5609999999999999,0.4419,0.5985,0.5251,2.8032
Serbia,Eastern Europe,0.3806,0.3157,0.3463,0.3747,12.5501
Seychelles,Africa,0.44530000000000003,0.215,0.4221,0.4365,25.375
Sierra Leone,Africa,0.33,0.34400000000000003,0.4031,0.3064,1.6182
Singapore,Asia,0.33230000000000004,0.1104,0.35819999999999996,0.3658,64.9838
Slovakia,Eastern Europe,0.7372,0.6415,0.6722,0.681,27.752299999999998
Slovenia,Eastern Europe,0.7821,0.6849,0.7501,0.766,31.3575
Solomon Islands,Asia,0.44179999999999997,0.3245,0.3474,0.3111,2.3881
Somalia,Africa,0.1125,0.08839999999999999,0.1558,0.0633,1.6975
Somaliland,Africa,0.2476,0.2563,0.274,0.1701,NA
South Africa,Africa,0.6372,0.4963,0.6412,0.5065,11.4722
South Korea,Asia,0.6826,0.5224,0.6527000000000001,0.6649,37.079499999999996
South Sudan,Africa,0.06955555555555555,0.07366666666666667,0.05811111111111111,0.04066666666666667,22.4
Spain,The West,0.7895,0.6251,0.7717,0.7758,33.0456
Sri Lanka,Asia,0.3492,0.2996,0.3239,0.34199999999999997,11.0026
Sudan,Africa,0.0664,0.0975,0.0838,0.0672,4.2539
Suriname,Latin America,0.6246,0.4773,0.6144,0.5608,12.1755
Sweden,The West,0.8821,0.6638000000000001,0.8674,0.8513,45.8107
Switzerland,The West,0.8611,0.8064,0.8744,0.8361999999999999,53.8377
Syria,Middle East,0.0307,0.0494,0.0207,0.0752,4.4783
Taiwan,Asia,0.6996,0.6281,0.6963,0.7248,46.2706
Tajikistan,Eastern Europe,0.0532,0.0607,0.0601,0.0995,3.2769
Tanzania,Africa,0.3806,0.2895,0.3667,0.34909999999999997,2.2281
Thailand,Asia,0.21760000000000002,0.156,0.1786,0.2036,15.1592
The Gambia,Africa,0.2014,0.1984,0.1666,0.2318,2.1789
Timor-Leste,Asia,0.4818,0.3638,0.4365,0.3956,3.2736
Togo,Africa,0.2515,0.19419999999999998,0.3644,0.3438,1.5318
Trinidad and Tobago,Latin America,0.6468,0.4835,0.6423,0.6174,30.2971
Tunisia,Middle East,0.5437,0.38639999999999997,0.5806,0.5273,10.7164
Turkmenistan,Eastern Europe,0.0269,0.0339,0.0331,0.08810000000000001,19.8796
TÃ¼rkiye,Middle East,0.2355,0.2728,0.2002,0.3054,20.4564
Uganda,Africa,0.2374,0.2261,0.2706,0.19899999999999998,1.9462
Ukraine,Eastern Europe,0.2512,0.2858,0.3403,0.3115,9.604
United Arab Emirates,Middle East,0.0882,0.0276,0.0826,0.1376,63.4828
United Kingdom,The West,0.7986000000000001,0.6342,0.7371,0.7373,38.519
United States of America,The West,0.818,0.6348,0.7865,0.7046,56.2698
Uruguay,Latin America,0.8434999999999999,0.7563,0.8477,0.8072,19.6239
Uzbekistan,Eastern Europe,0.0445,0.0433,0.08499999999999999,0.135,9.2391
Vanuatu,Asia,0.6271,0.4521,0.5902999999999999,0.5841999999999999,3.2105
Venezuela,Latin America,0.109,0.2242,0.1019,0.212,8.6479
Vietnam,Asia,0.1169,0.1711,0.1864,0.211,5.6341
Yemen,Middle East,0.0969,0.1111,0.1315,0.0725,2.4503
Zambia,Africa,0.3475,0.2824,0.3209,0.2754,2.8857
Zanzibar,Africa,0.2313,0.2035,0.2044,0.2625,NA
Zimbabwe,Africa,0.20350000000000001,0.2247,0.216,0.1819,2.7281
